id,study,input,backend,sink,workers,codec,chunk,block_bytes,compression_fold,observations,throughput_median,throughput_min,throughput_max,speedup_median,speedup_min,speedup_max
reef-turin-microscopy-workers-3708278:014a63987ac248f0,reef-turin-microscopy-workers-3708278,cosem-cos7-em,cpu,discard,32,zstd,256K,,1.2476838906353742,3,9.018047516204648,7.863797057495676,9.290663327078457,,,
reef-turin-microscopy-workers-3708278:6050ebe598296906,reef-turin-microscopy-workers-3708278,cosem-cos7-em,cpu,discard,32,blosc-lz4,16K,4096,0.9979859361304786,3,7.833445816216394,7.546916031807229,7.9837148976724155,,,
reef-turin-microscopy-workers-3708278:6bcd56939def5e3c,reef-turin-microscopy-workers-3708278,cosem-cos7-em,cpu,fs,32,zstd,256K,,1.2476838906353742,3,5.424819326514839,3.7163961482312184,5.963189389133412,,,
reef-turin-microscopy-workers-3708278:82d320d982235e13,reef-turin-microscopy-workers-3708278,cosem-cos7-em,cpu,fs,32,blosc-lz4,16K,4096,0.997987039005759,3,5.003513514586507,4.630783418239744,5.152306572304151,,,
reef-turin-microscopy-workers-3708278:ade90577b5ac7098,reef-turin-microscopy-workers-3708278,cosem-cos7-em,cpu,discard,32,zstd,64K,,1.2505885748497851,3,8.005722351957017,7.619604809736018,8.28613201332108,,,
reef-turin-microscopy-workers-3708278:b2cc4cee0893dadf,reef-turin-microscopy-workers-3708278,cosem-cos7-em,cpu,fs,32,zstd,64K,,1.2505885748497851,3,5.527229889278291,5.483749530476539,5.702827649142091,,,
reef-turin-microscopy-workers-3708278:0928d709619e4d9b,reef-turin-microscopy-workers-3708278,bbbc022-mito,cpu,discard,32,blosc-lz4,16K,4096,1.6843626746519622,3,13.157538312016394,12.736941809360612,13.237649935963836,,,
reef-turin-microscopy-workers-3708278:91edc4a0d153e94d,reef-turin-microscopy-workers-3708278,bbbc022-mito,cpu,discard,32,blosc-zstd,64K,65536,1.8879786251167865,3,6.787908374438417,6.049013340559157,6.887960240590747,,,
reef-turin-microscopy-workers-3708278:b84b5c213874fbb8,reef-turin-microscopy-workers-3708278,bbbc022-mito,cpu,fs,32,blosc-zstd,64K,65536,1.8878466303912906,3,5.1533207656280435,4.465020338581776,5.353342236465164,,,
reef-turin-microscopy-workers-3708278:c9c6430c93a6a3d1,reef-turin-microscopy-workers-3708278,bbbc022-mito,cpu,discard,32,blosc-zstd,256K,65536,1.875052736171435,3,5.423610691191845,4.782224558704338,5.483823031738731,,,
